FLORIDA SOIL SERIES, TEXTURES, AND AVAIL. WATER CAPACITY
 766   NUMBER OF SOIL TYPES                             
334 IUKA                 L    SIL                       
3  13.15.20 22.10.20 60.10.20                           
335 IZAGORA              VFSL FSL  SL                   
3  11.11.20 46.12.20 91.16.20                           
336 IZAGORA              LS   LFS                       
3  11.06.11 46.12.20 91.16.20                           
337 IZAGORA              L    SIL                       
3  11.16.22 46.12.20 91.16.20                           
338 JOHNS                LS   LFS                       
3  15.06.11 32.12.15 60.03.06                           
339 JOHNS                SL   FSL                       
3  15.10.15 32.12.15 60.03.06                           
340 JOHNSTON             L                              
3  30.20.26 34.02.07 60.06.12                           
341 JOHNSTON             L    SL   FSL                  
3  30.10.20 34.02.07 60.06.12                           
342 JONATHAN             FS   S                         
3   5.05.08 56.01.05 99.10.15                           
343 JONESVILLE           S    FS                        
3   7.05.10 29.02.08 33.05.10                           
344 JUMPER               S    FS                        
4  29.03.08 35.10.15 69.10.15 80.10.15                  
345 JUMPER               LS   LFS                       
4  29.05.08 35.10.15 69.10.15 80.10.15                  
346 JUPITER              S    FS                        
2  11.12.18 14.02.08                                    
347 KALIGA               MK                             
4  26.20.25 37.10.15 65.10.20 80.10.15                  
348 KALIGA VAR.          MK                             
2  35.20.25 52.10.15                                    
349 KALMIA               LS   LFS                       
3  14.06.10 32.12.16 60.03.06                           
350 KALMIA               SL   FSL                       
3  14.10.15 32.12.16 60.03.06                           
351 KALMIA,WET SUBS.     LS   LFS  FSL                  
3  22.06.10 34.12.16 72.03.06                           
352 KANAPAHA             S    FS                        
4  48.03.10 55.10.15 70.07.15 80.07.15                  
353 KANAPAHA,BD.         S    FS                        
3   3.03.10 55.03.08 80.07.15                           
354 KENANSVILLE          LS   LFS                       
3  24.04.10 36.10.14 80.05.05                           
355 KENANSVILLE          FS   S                         
3  24.03.07 36.10.14 80.05.05                           
356 KENANSVILLE,WET SUBS FS   LS   LFS                  
3  23.04.10 56.10.15 72.05.05                           
357 KENDRICK             LS   LFS                       
4  26.08.10 32.10.15 79.12.20 80.12.15                  
358 KENDRICK             S    FS                        
4  26.05.07 32.10.15 79.12.20 80.12.15                  
359 KENNEY               FS   LFS                       
2  60.06.10 80.11.15                                    
360 KERSHAW              S    COS  FS                   
1  80.02.05                                             
361 KERSHAW VAR.         S    FS                        
2  28.05.10 99.05.05                                    
362 KESSON               S    FS                        
4   6.10.15 23.05.10 38.05.15 80.05.15                  
363 KESSON               MK                             
4   6.30.50 23.05.10 38.05.15 80.05.15                  
364 KINSTON              FSL                            
2  12.13.19 60.14.18                                    
365 KINSTON              L    SIL                       
2  12.14.20 60.14.18                                    
366 KLEJ                 LS   FS   LFS                  
3  39.06.11 47.06.08 60.11.17                           
367 KLEJ,C.SUBS.         S    LS                        
3   6.06.11 48.06.08 60.16.20                           
368 KLEJ,SY.SUBS.        LS   FS   LFS                  
3  39.06.11 47.06.08 60.04.05                           
369 KUREB                S    COS  FS                   
1  80.05.05                                             
370 LACOOCHEE            FS   LFS                       
2  10.15.20 15.10.15                                    
371 LACOOCHEE            FSL                            
2  10.15.20 15.10.15                                    
372 LAKE                 S    FS                        
1  86.03.08                                             
373 LAKE,CLY.SUR.        C                              
2  11.15.20 80.03.08                                    
374 LAKELAND             S    FS                        
2  43.05.09 80.02.08                                    
375 LAKEWOOD             S    FS                        
3  10.04.09 36.04.10 60.04.10                           
376 LAUDERHILL           MK                             
1  31.20.30                                             
377 LAWNWOOD             S    FS                        
5   8.03.08 28.01.03 52.10.15 58.10.15 80.07.11         
378 LAWNWOOD,DP.         S    FS                        
4   3.03.08 22.01.03 29.10.15 80.07.11                  
379 LEAF                 SIL  VFSL                      
2   9.20.22 72.18.21                                    
380 LEAF                 FSL  L                         
2   9.12.18 72.18.21                                    
381 LEDWITH              MK                             
5   9.25.40 15.10.18 17.10.15 44.04.15 93.04.15         
382 LEEFIELD             LS   S    FS                   
3  23.04.07 33.10.13 75.08.12                           
383 LEON                 S    FS                        
3  15.02.05 30.05.10 80.02.05                           
384 LEON,FL.             FS   S                         
3  12.02.05 23.10.20 80.02.20                           
385 LOCHLOOSA            S    FS   LS                   
5  28.05.20 32.10.15 57.12.15 69.13.18 75.10.15         
386 LOKOSEE              S    FS                        
5  27.02.08 35.05.10 43.05.10 49.02.08 57.10.15         
387 LUCY                 LS   S    LFS                  
3  24.06.10 35.10.12 70.12.14                           
388 LUMBEE               LS   SL   FSL                  
3  14.08.12 36.12.16 60.03.06                           
389 LUTTERLOH            S    FS                        
3  59.02.05 71.10.15 94.10.15                           
390 LUTTERLOH            LS   LFS                       
3  59.05.10 71.10.15 94.10.15                           
391 LYNCHBURG            LS   LFS                       
2  10.07.10 62.12.16                                    
392 LYNCHBURG            SL   FSL  L                    
2  10.09.13 62.12.16                                    
393 LYNCHBURG,FL.        LS   LFS                       
2  10.07.10 62.12.16                                    
394 LYNCHBURG,FL.        SL   FSL  L                    
2  10.09.13 62.12.16                                    
395 LYNN HAVEN           S    FS                        
3  16.05.10 30.10.20 75.01.05                           
396 LYNN HAVEN VAR.      LS                             
3  22.06.12 60.04.08 80.10.15                           
397 LYNN HAVEN VAR.      S    FS                        
3  22.05.10 60.04.08 80.10.15                           
398 LYNNE                S    FS                        
6   6.08.15 20.03.08 34.10.15 38.05.10 43.13.17 67.13.17
399 MABEL                FS   S                         
4  11.10.15 14.13.18 30.15.18 80.13.18                  
400 MALABAR              S    FS                        
5  14.03.08 35.05.10 45.02.05 61.10.15 65.05.08         
401 MALABAR,DP.          S    FS                        
5  14.03.08 35.05.10 45.02.05 61.10.15 65.05.08         
402 MALABAR,FREQ.FL.     S    FS                        
3   6.03.08 48.05.10 80.10.15                           
403 MALABAR, HIGH        S    FS                        
5  17.03.05 37.05.10 49.03.05 68.10.15 80.03.05         
404 MALBIS               FSL  L    SL                   
4   7.10.15 26.12.20 54.12.17 71.06.12                  
405 MANATEE              LFS  LS   FS                   
4  18.15.20 36.10.15 48.08.15 60.08.15                  
406 MANATEE              LFS  FS   LS                   
4  18.15.25 36.10.15 48.08.15 60.08.15                  
407 MANATEE              FSL  SL                        
4  18.15.25 36.10.15 48.08.15 60.08.15                  
408 MANATEE,DP.          LFS  LS   FS                   
4  18.15.20 36.10.15 48.08.15 60.08.15                  
409 MANATEE,DP.          FSL  SL                        
4  18.15.25 36.10.15 48.08.15 60.08.15                  
410 MANATEE,DP.          LFS  FS   LS                   
4  18.15.25 36.10.15 48.08.15 60.08.15                  
411 MANATEE,FL.          LFS  LS   FS                   
4  18.15.20 36.10.15 48.08.15 60.08.15                  
412 MANATEE,FL.          FSL  SL                        
4  18.15.25 36.10.15 48.08.15 60.08.15                  
413 MANDARIN             FS   S                         
4  26.03.07 40.10.15 73.03.07 80.10.15                  
414 MANTACHIE            SIL                            
2  11.16.20 61.14.20                                    
415 MANTACHIE            CL                             
2  11.10.15 61.14.20                                    
416 MANTACHIE            FSL  SL   L                    
2  11.16.20 61.14.20                                    
417 MARGATE              FS   S                         
4   8.05.10 16.03.06 28.03.06 32.03.10                  
418 MARLBORO             LS   LFS                       
3   9.06.09 60.14.18 72.12.18                           
419 MARLBORO             SL   FSL  VFSL                 
3   9.09.14 60.14.18 72.12.18                           
420 MARTEL               SL   SCL                       
2  19.15.20 72.13.18                                    
421 MASARYK              VFS                            
2  70.05.10 90.10.15                                    
422 MASCOTTE             FS   S                         
5  16.03.08 28.10.15 34.03.08 60.10.15 80.07.10         
423 MASCOTTE,DP.         FS                             
3  20.05.12 36.15.25 80.08.12                           
424 MASCOTTE,OCC.FL.     FS                             
4  19.05.12 34.15.25 38.08.12 80.08.12                  
425 MATLACHA             S    FS                        
2  35.05.08 80.03.05                                    
426 MATLACHA,LM.SUBS.    S    FS                        
3  23.05.10 44.03.05 48.10.15                           
427 MAUREPAS             MK                             
1  72.20.50                                             
428 MAUREPAS,DR.         MK                             
1  72.20.50                                             
429 MAXTON               SL   FSL                       
3  12.10.14 33.13.18 60.03.06                           
430 MAXTON               LS   LFS                       
3  12.06.10 33.13.18 60.03.06                           
431 MCKEE                C    CL   CL                   
3   1.12.20 60.12.20 80.05.10                           
432 MEGGETT              FSL  SL   LS                   
4   8.10.15 16.13.18 52.13.18 65.12.16                  
433 MEGGETT              L    CL                        
4   8.15.20 16.13.18 52.13.18 65.12.16                  
434 MICANOPY             FS   LFS  LS                   
5  15.05.10 20.10.15 26.10.18 57.10.18 68.10.15         
435 MICCO                MK   MPT  PT                   
4  12.20.25 30.20.25 38.05.10 55.08.12                  
436 MILLHOPPER           S    FS   LS                   
3  58.05.10 64.08.12 89.08.15                           
437 MILLHOPPER,BD.       S    FS                        
3   7.05.10 45.05.08 80.10.15                           
438 MONTEOCHA            S    FS   LS                   
4  12.15.30 48.10.15 85.10.15 94.05.15                  
439 MONTVERDE            MK   PT                        
2  11.20.25 80.45.50                                    
440 MOULTRIE             S    FS                        
3  22.02.05 29.10.15 80.02.05                           
441 MULAT                LFS  LS                        
4  10.10.15 27.05.20 49.10.15 80.05.10                  
442 MULAT                FS   S                         
4  10.10.15 27.05.20 49.10.15 80.05.10                  
443 MYAKKA               S    FS                        
3  20.02.05 36.10.20 80.02.10                           
444 MYAKKA,DP.           S    FS                        
3  20.02.05 36.10.15 80.02.05                           
445 MYAKKA,LM.SUBS.      S    FS                        
3  23.02.05 34.10.20 62.10.20                           
446 MYAKKA,SH.SUBS.      S    FS                        
3  26.05.05 41.10.15 80.05.05                           
447 MYAKKA,TD.           S    FS                        
3  15.05.10 37.10.15 75.05.10                           
448 MYAKKA VAR.          S    FS                        
2  17.10.15 72.10.15                                    
449 MYAKKA VAR.          S                              
5   7.05.10 28.02.05 40.10.15 45.05.10 80.02.05         
450 MYATT                FSL  SL   VFSL                 
3  10.11.20 50.12.20 72.10.20                           
451 MYATT                SIL  L                         
3  10.16.24 50.12.20 72.10.20                           
452 MYATT                LS   LFS                       
3  10.08.11 50.12.20 72.10.20                           
453 NARCOOSSEE           S    FS                        
4   5.03.08 22.02.05 26.05.08 80.02.05                  
454 NARCOOSSEE,SH.SUBS.  FS   S                         
4   3.03.10 11.02.05 14.05.10 80.05.10                  
455 NETTLES              S    FS                        
5   8.05.10 33.02.05 39.10.15 55.10.15 90.10.15         
456 NETTLES,DP.          S    FS                        
5   5.05.10 34.02.05 40.10.15 57.10.15 80.10.15         
457 NEWHAN               FS   S                         
1  64.05.05                                             
458 NEWNAN               S    FS                        
5  12.03.10 16.07.15 56.05.12 59.08.13 82.07.15         
459 NITTAW               MK   SP                        
4   7.20.25 15.05.15 71.15.18 83.05.10                  
460 NOBLETON             FS   LFS                       
5  33.05.10 37.12.18 60.14.18 80.12.18 85.11.18         
461 NORFOLK              SL   FSL                       
3  17.10.15 38.10.20 70.10.15                           
462 NORFOLK              LS   LFS                       
3  17.06.11 38.10.20 70.10.15                           
463 NORFOLK VAR.         LS                             
4   7.05.10 14.05.10 64.10.15 80.10.15                  
464 NUTALL               S    FS                        
2  17.05.10 30.15.20                                    
465 NUTALL,DP.           S    FS                        
2  17.05.10 30.15.20                                    
466 OCILLA               LS   LFS                       
3  28.05.08 59.09.12 67.09.12                           
467 OCILLA               LCOS S                         
3  28.05.07 59.09.12 67.09.12                           
468 OCILLA,FREQ.FL.      LS   LFS  S                    
2  28.05.08 67.09.12                                    
469 OCOEE                MK   PT                        
3   7.20.25 38.45.50 75.02.05                           
470 OCOEE VAR.           MK                             
3   8.20.25 30.45.50 65.02.05                           
471 OKEECHOBEE           MK                             
3  28.30.50 50.45.65 66.30.50                           
472 OKEELANTA            MK   PT                        
2  31.20.30 65.05.10                                    
473 OKEELANTA,DP.        MK   PT                        
4  29.30.40 34.03.05 68.10.15 80.03.05                  
474 OKEELANTA,FL.        MK                             
2  19.20.45 80.05.10                                    
475 OKEELANTA,TD.        MK   PT                        
2  39.20.30 60.05.10                                    
476 OKEELANTA VAR.       MK                             
3   4.20.35 20.20.35 54.02.10                           
477 OKLAWAHA             PT   MPT  MK                   
4   9.20.25 25.20.25 31.05.10 54.10.15                  
478 OKTIBBEHA            FSL  SL                        
3   4.10.15 41.12.16 70.05.10                           
479 OKTIBBEHA            L    SIL                       
3   4.15.22 41.12.16 70.05.10                           
480 OKTIBBEHA            CL   SICL                      
3   4.13.17 41.12.16 70.05.10                           
481 OKTIBBEHA,CLY.SUR.   C    SIC                       
3   4.12.16 41.12.16 70.05.10                           
482 OLDSMAR              FS   S                         
3  34.02.05 44.10.15 65.10.15                           
483 OLDSMAR,BD.          S    FS                        
4   5.02.07 31.02.05 48.10.15 80.10.15                  
484 OLDSMAR,DP.          S    FS                        
3  34.02.05 44.10.15 65.10.15                           
485 OLDSMAR,LM.SUBS.     S    FS                        
3  34.05.10 49.05.10 60.10.15                           
486 OLENO                C                              
4  32.20.33 71.01.05 77.05.12 82.20.27                  
487 OLUSTEE              S    FS                        
5   8.05.10 21.10.15 35.03.08 62.10.15 74.10.15         
488 OLUSTEE,THICK SUR.   FS                             
5  18.05.10 23.10.15 37.03.08 63.10.15 80.10.15         
489 ONA                  FS   S                         
3   6.10.15 20.10.15 82.03.08                           
490 ONA,ORTS.SUBS.       S    FS                        
5   5.10.15 16.10.15 52.05.10 68.10.15 80.10.15         
491 ORANGEBURG           LS   LFS  S                    
4   7.06.09 12.09.12 54.11.14 64.11.14                  
492 ORANGEBURG           SL   FSL  SCL                  
4   7.07.10 12.09.12 54.11.14 64.11.14                  
493 ORANGEBURG           SCL                            
4   7.09.13 12.09.12 54.11.14 64.11.14                  
494 ORANGEBURG,OVWSH.    SL   FSL                       
3  14.10.15 54.11.14 64.11.14                           
495 ORANGEBURG,OVWSH.    L                              
3  14.13.17 54.11.14 64.11.14                           
496 ORLANDO              S    FS                        
2  20.07.12 88.03.06                                    
497 ORSINO               S    FS                        
2  22.02.08 80.02.08                                    
498 ORSINO VAR.          S    FS                        
1  80.02.05                                             
499 ORTEGA               FS   S                         
2   5.05.08 82.03.06                                    
500 OSIER                S    LS   FS                   
3   8.03.10 48.03.10 75.02.05                           
501 OSIER                FSL  LFS                       
3   8.10.15 48.03.10 75.02.05                           
502 OSIER,FL.            S    LS   FS                   
3   8.03.10 48.03.10 75.02.05                           
503 OSIER,FL.            FSL  LFS                       
3   8.10.15 48.03.10 75.02.05                           
504 OSIER,PD.            S    LS   FS                   
3   8.03.10 48.03.10 75.02.05                           
505 OSIER,PD.            FSL  LFS                       
3   8.10.15 48.03.10 75.02.05                           
506 PACTOLUS             LS   LFS  S                    
2  40.05.10 80.03.07                                    
507 PAHOKEE              MK                             
1  42.20.25                                             
508 PAISLEY              LFS  LS                        
2   9.06.10 80.15.18                                    
509 PAISLEY              FS                             
2   9.05.08 80.15.18                                    
510 PAISLEY,BD.          FS   S                         
3  17.10.15 22.13.18 80.15.18                           
511 PAISLEY,DP.          FS                             
2  13.05.08 80.15.18                                    
512 PALM BEACH           S    FS                        
1  80.02.05                                             
513 PALMETTO             S    FS                        
4  25.05.10 45.05.10 64.10.15 68.08.12                  
514 PALMETTO,DP.         S    FS                        
4  25.05.10 45.05.10 64.10.15 68.08.12                  
515 PAMLICO              MK                             
2  30.24.26 60.03.06                                    
516 PAMLICO,FL.          MK                             
2  30.24.40 60.10.20                                    
517 PAMLICO,LY.SUBS.     MK                             
3  24.24.26 48.03.06 72.03.06                           
518 PAMLICO,PD.          MK                             
2  30.24.40 60.02.10                                    
519 PANASOFFKEE          S    FS                        
4   5.02.05 27.02.08 30.05.10 80.14.18                  
520 PANASOFFKEE          LS   LFS                       
4   5.03.07 27.02.08 30.05.10 80.14.18                  
521 PANSEY               FSL  SL                        
4  10.10.15 20.10.14 35.12.16 70.12.17                  
522 PANSEY               LFS  LS                        
4  10.06.10 20.10.14 35.12.16 70.12.17                  
523 PANTEGO              L                              
3  18.20.30 42.12.20 65.15.20                           
524 PANTEGO              L    FSL  SL                   
3  18.10.20 42.12.20 65.15.20                           
525 PANTEGO              LFS  LS                        
3  18.06.10 42.12.20 65.15.20                           
526 PAOLA                S    FS                        
2  25.02.05 80.02.05                                    
527 PARKWOOD             FS   LFS                       
3   9.05.11 22.10.20 70.05.22                           
528 PARKWOOD             FSL                            
3   9.15.26 22.10.20 70.05.22                           
529 PARKWOOD VAR.        FS   LFS                       
2   9.05.11 37.10.14                                    
530 PECKISH              FS   FS   S                    
4   9.15.20 36.05.10 48.10.15 61.05.10                  
531 PEDRO                S    FS                        
2  13.03.08 16.10.15                                    
532 PEDRO VAR.           S    FS                        
2   8.03.08 11.12.15                                    
533 PEDRO VAR,OCC.FL.    S    FS                        
2   8.03.08 11.12.15                                    
534 PELHAM               LS   LFS                       
3  27.05.08 56.10.13 68.10.16                           
535 PELHAM               S    FS                        
3  27.04.07 56.10.13 68.10.16                           
536 PELHAM,FL.           LS   LFS                       
3  27.05.08 56.10.13 68.10.16                           
537 PELHAM,FL.           S    FS                        
3  27.04.07 56.10.13 68.10.16                           
538 PELHAM,PD.           LS   LFS                       
3  27.05.08 56.10.13 68.10.16                           
539 PELHAM,PD.           S    FS                        
3  27.04.07 56.10.13 68.10.16                           
540 PELHAM VAR.          S    FS                        
2  27.05.08 68.10.13                                    
541 PELLICER             SICL CL                        
3  10.20.30 70.15.20 80.05.10                           
542 PENDARVIS            S    FS                        
4  48.02.05 62.10.15 76.10.15 80.05.10                  
543 PENNEKAMP            L    MK                        
2   2.10.15 12.10.15                                    
544 PENNSUCO             SIL  SICL                      
3   5.15.20 38.20.45 53.10.20                           
545 PENNSUCO,TD.         SIL  SICL                      
3   5.15.20 38.20.45 53.10.20                           
546 PEPPER               S    FS                        
5   6.05.10 23.02.05 33.10.15 57.05.10 99.10.15         
547 PERRINE              SIL  SICL                      
2  10.15.20 26.20.45                                    
548 PERRINE VAR.         SIL  SICL                      
3   8.15.20 26.20.20 80.20.20                           
549 PERRINE VAR.         SIL  SICL SIL                  
1  10.15.20                                             
550 PICKNEY              LFS  LS                        
2  34.10.20 40.03.11                                    
551 PICKNEY              S    FS                        
2  34.04.10 40.03.11                                    
552 PINEDA               S    FS                        
3  36.02.05 54.10.15 80.02.05                           
553 PINEDA,DP.           S    FS                        
3  24.02.05 30.10.15 80.02.05                           
554 PINEDA,FL.           S    FS                        
3  36.02.05 54.10.15 80.02.05                           
555 PINEDA,FL.           S    FS                        
3  24.02.05 37.10.15 80.02.05                           
556 PINEDA,LM.SUBS.      FS                             
2  27.02.05 52.10.15                                    
557 PINELLAS             S    FS                        
4  18.02.05 35.10.15 54.10.15 80.02.05                  
558 PLACID               FS   S    LFS                  
2  20.15.20 75.05.08                                    
559 PLACID,DP.           S    FS   LFS                  
2  20.15.20 80.05.08                                    
560 PLACID,FREQ.FL.      FS   S    LFS                  
2  11.15.20 80.05.08                                    
561 PLACID VAR.          S    FS                        
3  17.15.20 33.05.08 82.05.08                           
562 PLANTATION           S    FS                        
1  25.02.05                                             
563 PLUMMER              S    FS   LS                   
2  50.03.20 72.07.15                                    
564 PLUMMER,PD.          S    FS   LS                   
3   8.03.08 50.03.20 72.07.15                           
565 PLUMMER,PD.          MK                             
3   8.20.26 50.03.20 72.07.15                           
566 POCOMOKE             SL   FSL  LS                   
3  28.12.20 40.06.10 60.06.18                           
567 POMELLO              COS  S    FS                   
3  42.02.05 64.10.30 80.02.05                           
568 POMELLO,OCC.FL.      S    FS                        
3  32.05.05 42.10.15 80.05.05                           
569 POMELLO VAR.         S    FS                        
3  52.02.05 64.10.15 80.04.08                           
570 POMONA               S    FS                        
5   5.05.10 26.03.08 39.10.20 51.03.15 72.10.17         
571 POMONA,DP.           S    FS                        
5   5.05.10 26.03.08 39.10.20 51.03.15 72.10.17         
572 POMPANO              FS   S                         
1  80.02.05                                             
573 POMPANO,DP.          FS   S                         
1  80.02.05                                             
574 POMPANO,FL.          FS   S                         
2   6.02.05 80.02.05                                    
575 POMPANO VAR.         FS                             
1  80.05.10                                             
576 PONZER               MK                             
2  24.35.45 52.10.24                                    
577 POOLER               FSL  L    CL                   
4   6.10.16 12.11.17 52.12.18 72.12.16                  
578 POOLER,PD.           FSL  L    CL                   
4   6.10.16 12.11.17 52.12.18 72.12.16                  
579 POPASH               FS   S    LS                   
4  10.15.25 21.10.15 52.05.08 80.10.15                  
580 POPLE                S    FS                        
4   9.03.08 29.03.08 56.10.15 80.10.15                  
581 PORTSMOUTH           SL   FSL  L                    
4  19.12.18 35.14.20 38.06.10 72.02.05                  
582 POTTING MEDIA (SOIL) POT  MIX                       
1  36.10.50                                             
583 POTTSBURG            S    FS                        
2  57.03.10 80.10.25                                    
584 POTTSBURG VAR.       S    FS                        
4   6.03.07 51.02.05 55.10.15 80.10.15                  
585 PUNTA                FS   S                         
3   4.05.10 57.02.05 83.05.10                           
586 QUARTZIPSAMENTS      FS                             
1  80.03.05                                             
587 RAINS                LS   LFS  S                    
4  12.07.10 40.11.15 62.10.15 79.10.15                  
588 RAINS                SL   FSL                       
4  12.10.14 40.11.15 62.10.15 79.10.15                  
589 RAINS,FL.            SL   FSL                       
4  12.08.12 40.12.16 62.12.16 79.10.15                  
590 RAINS,FL.            VFSL L                         
4  12.10.15 40.12.16 62.12.16 79.10.15                  
591 RAINS VAR.           S    FS                        
3  12.08.12 62.10.15 85.10.15                           
592 RED BAY              SL   FSL  L                    
4   6.07.14 20.10.14 52.12.17 72.11.14                  
593 RED BAY              LS   LFS                       
4   6.06.11 20.10.14 52.12.17 72.11.14                  
594 RED BAY              SCL                            
4   6.10.14 20.10.14 52.12.17 72.11.14                  
595 REDLEVEL             FS   S                         
2   7.05.10 55.05.10                                    
596 RESOTA               S    FS                        
1  80.02.05                                             
597 RIDGELAND            S    FS   LFS                  
4   8.05.10 15.04.08 35.04.08 80.04.08                  
598 RIVERVIEW            SIL  L    VFSL                 
3   6.16.24 39.15.22 70.07.11                           
599 RIVERVIEW            LS   LFS                       
3   6.10.14 39.15.22 70.07.11                           
600 RIVERVIEW            SL   FSL                       
3   6.12.18 39.15.22 70.07.11                           
601 RIVIERA              S    FS                        
4  28.05.08 36.10.14 42.12.15 62.05.08                  
602 RIVIERA,DP.          S    FS                        
4  28.05.08 36.10.14 42.12.15 62.05.08                  
603 RIVIERA,LM.SUBS.     S    FS                        
3  35.02.05 45.10.15 50.02.10                           
604 RIVIERA,LM.SUBS,DP.  S    FS                        
3  35.02.05 58.10.15 60.05.08                           
605 ROBERTSDALE          FSL  L                         
3   6.10.15 21.12.16 74.12.16                           
606 ROCKDALE             S    FS   S                    
2   2.02.08  6.15.20                                    
607 ROCKDALE             FSL  FSL                       
2   2.12.18  6.15.20                                    
608 RUSTON               FSL  SL   L                    
4  16.09.14 41.12.17 47.12.15 80.12.17                  
609 RUSTON               FSL  SL                        
4  16.09.16 41.12.17 47.12.15 80.12.17                  
610 RUSTON               LFS                            
4  16.07.11 41.12.17 47.12.15 80.12.17                  
611 RUTLEGE              LS   LFS  S                    
2  18.04.10 60.04.08                                    
612 RUTLEGE,PD.          LS   LFS                       
2  18.06.10 60.04.08                                    
613 RUTLEGE,PD.          S                              
2  18.04.06 60.04.08                                    
614 SALERNO              S    FS                        
4   9.05.10 61.02.05 76.05.10 99.02.10                  
615 SAMSULA              MK   SP                        
2  36.20.25 55.02.05                                    
616 SAMSULA VAR.         MK                             
3  25.20.25 36.10.18 52.10.15                           
617 SANIBEL              S    FS                        
1  60.10.15                                             
618 SAPELO               FS   S                         
4  17.03.07 25.10.15 49.03.07 84.12.17                  
619 SATELLITE            COS  S    FS                   
2   6.02.10 80.02.05                                    
620 SATELLITE VAR.       FS   S                         
1  80.02.05                                             
621 SATELLITE VAR.       S    FS                        
1  80.02.05                                             
622 SAVANNAH             L    SIL                       
3  11.16.20 28.13.20 68.05.10                           
623 SAVANNAH             FSL  SL                        
3  11.10.15 28.13.20 68.05.10                           
624 SAWYER               SIL  L                         
3   5.15.24 29.15.24 80.12.18                           
625 SCOGGIN              S    FS                        
4   7.10.15 36.02.05 49.10.15 54.05.10                  
626 SCRANTON             LS   LFS                       
3   7.07.11 41.05.11 72.04.08                           
627 SCRANTON             S    FS                        
3   7.05.10 41.05.11 72.04.08                           
628 SEEWEE               LFS  LS   FS                   
3  21.05.08 30.04.07 65.04.07                           
629 SEFFNER              FS   S                         
3  13.07.12 21.07.12 80.04.08                           
630 SEFFNER,CEM.SUBS.    FS   S                         
3  18.07.12 46.07.12 80.04.08                           
631 SELLERS              FS   LFS  S                    
3   5.15.20 28.10.15 84.03.08                           
632 SELLERS              S    FS   LFS                  
3   5.10.15 28.10.15 84.03.08                           
633 SHENKS               MK                             
3  21.25.40 28.18.30 82.10.20                           
634 SHENKS,FL.           MK                             
3  18.25.40 60.10.20 80.10.15                           
635 SHUBUTA              SL   FSL  L                    
3   8.12.16 52.14.18 70.14.18                           
636 SHUBUTA              LS                             
3   8.05.10 52.14.18 70.14.18                           
637 SHUBUTA              CL   SCL                       
3   8.15.18 52.14.18 70.14.18                           
638 SMYRNA               S    FS                        
3  13.03.07 28.10.20 80.03.07                           
639 SPARR                S    FS                        
5   8.08.12 48.05.08 56.10.15 72.10.18 99.10.15         
640 SPARR,BD.            S    FS                        
4   8.08.12 46.05.08 58.10.15 80.10.18                  
641 ST.AUGUSTINE         S    FS                        
2  10.02.05 80.05.10                                    
642 ST.AUGUSTINE,CLY.SUB S    FS                        
4  21.02.05 48.05.10 53.10.20 80.15.20                  
643 ST.AUGUSTINE,ORG.SUB S    FS                        
2  51.05.10 80.15.20                                    
644 ST.JOHNS             S    FS                        
4  14.10.15 22.03.08 42.10.30 72.03.08                  
645 ST.JOHNS,DP.         S    FS                        
4  14.10.15 22.03.08 42.10.30 80.03.08                  
646 ST.JOHNS VAR.        S    FS                        
4  14.10.15 48.05.10 62.10.15 72.05.10                  
647 ST.LUCIE             S    FS                        
1  80.02.05                                             
648 ST.LUCIE VAR.        S    FS                        
1  80.02.05                                             
649 ST.LUCIE VAR,DIST.   S    FS                        
1  80.02.05                                             
650 ST.LUCIE VAR,MOD.WET S    FS                        
1  80.02.05                                             
651 STILSON              LS   S                         
3  24.06.09 43.09.12 72.08.10                           
652 STOCKADE             FSL  L                         
2  12.15.20 46.12.17                                    
653 STOCKADE             LFS  FS                        
2  12.10.15 46.12.17                                    
654 STOCKADE             L    FSL  SL                   
2  12.15.24 46.12.17                                    
655 STOCKADE,FL.         FSL  L                         
2  12.15.20 46.12.17                                    
656 STOCKADE,FL.         LFS  FS                        
2  12.10.15 46.12.17                                    
657 STOCKADE,FL.         L    FSL  SL                   
2  12.15.24 46.12.17                                    
658 STOUGH               L                              
3  20.12.18 26.07.11 68.07.11                           
659 STOUGH               FSL  SL                        
3  20.12.18 26.07.11 68.07.11                           
660 SUMTERVILLE          S    FS                        
3   9.08.12 29.05.08 80.10.18                           
661 SUNSWEET             SL   LS                        
3   4.09.12 11.07.10 60.07.10                           
662 SUNSWEET             SL   LS                        
3   4.09.12 11.07.10 60.07.10                           
663 SURRENCY             LS   LFS                       
3  32.05.10 48.06.10 65.10.15                           
664 SURRENCY             S    FS                        
3  32.05.10 48.06.10 65.10.15                           
665 SURRENCY,PD.         LS   LFS                       
3  32.05.10 48.06.10 65.10.15                           
666 SURRENCY,PD.         S    FS                        
3  32.05.10 48.06.10 65.10.15                           
667 SUSANNA              S    FS                        
5   6.05.10 25.02.05 29.10.15 48.10.15 80.05.10         
668 SUSQUEHANNA          FSL  SL                        
2   5.10.15 77.15.20                                    
669 SUSQUEHANNA          SIL  L                         
2   5.18.20 77.15.20                                    
670 SUSQUEHANNA          LS                             
2   5.05.09 77.15.20                                    
671 TALQUIN              S    FS                        
3  25.02.05 37.05.10 80.02.05                           
672 TANTILE              S    FS                        
6   5.05.10 26.02.05 34.10.15 49.10.15 69.02.05 80.10.15
